Club,Position,Probability,Cumulative
Vitória / BA,20,1e-06,1e-06
Bahia / BA,20,0.014507,0.014507
Criciúma / SC,20,0.928335,0.928335
Botafogo / RJ,20,0.057154,0.057154
Coritiba / PR,20,3e-06,3e-06
Palmeiras / SP,19,0.000712,0.000712
Botafogo / RJ,19,0.608952,0.6661060000000001
Chapecoense / SC,19,0.000432,0.000432
Bahia / BA,19,0.32942,0.343927
Coritiba / PR,19,0.001905,0.001908
Criciúma / SC,19,0.056361,0.984696
Vitória / BA,19,0.002218,0.002219
Palmeiras / SP,18,0.027237,0.027949
Bahia / BA,18,0.570616,0.914543
Criciúma / SC,18,0.015146,0.999842
Botafogo / RJ,18,0.297027,0.963133
Coritiba / PR,18,0.034693,0.036601
Chapecoense / SC,18,0.008038,0.00847
Vitória / BA,18,0.047243,0.049462
Bahia / BA,17,0.054199,0.968742
Goiás / GO,17,7e-06,7e-06
Palmeiras / SP,17,0.312184,0.340133
Criciúma / SC,17,0.000153,0.999995
Vitória / BA,17,0.342777,0.392239
Chapecoense / SC,17,0.072149,0.08061900000000001
Coritiba / PR,17,0.193949,0.23055
Botafogo / RJ,17,0.024425,0.987558
Figueirense / SC,17,0.000157,0.000157
Botafogo / RJ,16,0.009183,0.9967410000000001
Coritiba / PR,16,0.242491,0.47304100000000004
Vitória / BA,16,0.264813,0.657052
Bahia / BA,16,0.022873,0.991615
Palmeiras / SP,16,0.289775,0.629908
Criciúma / SC,16,5e-06,1.0
Chapecoense / SC,16,0.163075,0.24369400000000002
Figueirense / SC,16,0.006929,0.007086
Goiás / GO,16,0.000856,0.0008629999999999999
Bahia / BA,15,0.006711,0.998326
Vitória / BA,15,0.173064,0.8301160000000001
Figueirense / SC,15,0.041129,0.048215
Botafogo / RJ,15,0.002614,0.9993550000000001
Chapecoense / SC,15,0.282203,0.5258970000000001
Palmeiras / SP,15,0.204637,0.8345450000000001
Goiás / GO,15,0.013961,0.014823999999999999
Coritiba / PR,15,0.275678,0.748719
Sport / PE,15,3e-06,3e-06
Palmeiras / SP,14,0.139669,0.974214
Athletico Paranaense / PR,14,0.000108,0.000108
Goiás / GO,14,0.094057,0.108881
Figueirense / SC,14,0.12081,0.169025
Flamengo / RJ,14,6.9e-05,6.9e-05
Coritiba / PR,14,0.218669,0.967388
Chapecoense / SC,14,0.31466,0.840557
Botafogo / RJ,14,0.000645,1.0
Bahia / BA,14,0.001674,1.0
Sport / PE,14,0.000631,0.000634
Santos / SP,14,5e-06,5e-06
Vitória / BA,14,0.109003,0.939119
Goiás / GO,13,0.282606,0.39148700000000003
Sport / PE,13,0.056378,0.057012
Figueirense / SC,13,0.429532,0.598557
Chapecoense / SC,13,0.112509,0.953066
Palmeiras / SP,13,0.020923,0.995137
Flamengo / RJ,13,0.005489,0.005558
Santos / SP,13,0.002878,0.0028829999999999997
Athletico Paranaense / PR,13,0.009671,0.009779000000000001
Vitória / BA,13,0.051096,0.9902150000000001
Coritiba / PR,13,0.028918,0.996306
Palmeiras / SP,12,0.004141,0.999278
Sport / PE,12,0.167406,0.224418
Vitória / BA,12,0.008908,0.999123
Santos / SP,12,0.027163,0.030046
Goiás / GO,12,0.426932,0.818419
Flamengo / RJ,12,0.030399,0.035956999999999996
Coritiba / PR,12,0.003694,1.0
Athletico Paranaense / PR,12,0.045933,0.055712000000000005
Chapecoense / SC,12,0.040282,0.993348
Figueirense / SC,12,0.245142,0.843699
Chapecoense / SC,11,0.006055,0.999403
Palmeiras / SP,11,0.000626,0.999904
Flamengo / RJ,11,0.134751,0.170708
Santos / SP,11,0.122633,0.152679
Figueirense / SC,11,0.1091,0.952799
Goiás / GO,11,0.125422,0.943841
Sport / PE,11,0.385737,0.610155
Vitória / BA,11,0.000856,0.9999790000000001
Athletico Paranaense / PR,11,0.11482,0.17053200000000002
Goiás / GO,10,0.039873,0.983714
Chapecoense / SC,10,0.000575,0.999978
Sport / PE,10,0.205497,0.815652
Vitória / BA,10,2.1e-05,1.0
Figueirense / SC,10,0.033104,0.985903
Santos / SP,10,0.206004,0.358683
Athletico Paranaense / PR,10,0.214175,0.384707
Flamengo / RJ,10,0.30066,0.471368
Palmeiras / SP,10,9.1e-05,0.9999950000000001
Palmeiras / SP,9,5e-06,1.0
Chapecoense / SC,9,2.2e-05,1.0
Sport / PE,9,0.120363,0.936015
Santos / SP,9,0.25465,0.613333
Athletico Paranaense / PR,9,0.288492,0.6731990000000001
Goiás / GO,9,0.013303,0.997017
Flamengo / RJ,9,0.312034,0.7834019999999999
Figueirense / SC,9,0.011131,0.997034
Flamengo / RJ,8,0.216598,1.0
Santos / SP,8,0.386667,1.0
Goiás / GO,8,0.002983,1.0
Sport / PE,8,0.063985,1.0
Athletico Paranaense / PR,8,0.326801,1.0
Figueirense / SC,8,0.002966,1.0
Fluminense / RJ,7,0.844081,0.844081
Internacional / RS,7,0.030413,0.030413
São Paulo / SP,7,1.1e-05,1.1e-05
Grêmio / RS,7,0.075803,0.075803
Atlético / MG,7,0.043287,0.043287
Corinthians / SP,7,0.006405,0.006405
Fluminense / RJ,6,0.111092,0.9551729999999999
Corinthians / SP,6,0.050085,0.05649
São Paulo / SP,6,0.001199,0.00121
Grêmio / RS,6,0.340919,0.41672200000000004
Internacional / RS,6,0.243081,0.273494
Atlético / MG,6,0.253624,0.29691100000000004
Corinthians / SP,5,0.130391,0.18688100000000002
Grêmio / RS,5,0.302992,0.719714
Atlético / MG,5,0.25848,0.555391
Fluminense / RJ,5,0.03548,0.990653
Internacional / RS,5,0.263798,0.537292
São Paulo / SP,5,0.008859,0.010069
Fluminense / RJ,4,0.00821,0.998863
Atlético / MG,4,0.256381,0.811772
São Paulo / SP,4,0.044305,0.054374
Internacional / RS,4,0.291478,0.82877
Grêmio / RS,4,0.164363,0.884077
Corinthians / SP,4,0.235263,0.42214399999999996
Corinthians / SP,3,0.457797,0.879941
Fluminense / RJ,3,0.001127,0.9999899999999999
Internacional / RS,3,0.14771,0.97648
Atlético / MG,3,0.155968,0.96774
São Paulo / SP,3,0.134219,0.188593
Grêmio / RS,3,0.103179,0.987256
Fluminense / RJ,2,1e-05,1.0
Atlético / MG,2,0.03226,1.0
São Paulo / SP,2,0.80776,0.996353
Corinthians / SP,2,0.120059,1.0
Grêmio / RS,2,0.012744,1.0
Internacional / RS,2,0.02352,1.0
Cruzeiro / MG,2,0.003647,0.003647
Cruzeiro / MG,1,0.996353,1.0
São Paulo / SP,1,0.003647,1.0
