Club,Position,Probability,Cumulative
Vitória / BA,20,0.0011,0.0011
Ponte Preta / SP,20,0.029898,0.029898
Corinthians / SP,20,1e-06,1e-06
Atlético / MG,20,1.3e-05,1.3e-05
Fluminense / RJ,20,4.3e-05,4.3e-05
Sport / PE,20,0.002181,0.002181
Coritiba / PR,20,0.013154,0.013154
Botafogo / RJ,20,0.033026,0.033026
Flamengo / RJ,20,2.3e-05,2.3e-05
Santa Cruz / PE,20,0.000334,0.000334
Internacional / RS,20,2e-06,2e-06
Chapecoense / SC,20,3e-05,3e-05
São Paulo / SP,20,1.3e-05,1.3e-05
Athletico Paranaense / PR,20,2e-05,2e-05
Cruzeiro / MG,20,0.000172,0.000172
Figueirense / SC,20,0.04297,0.04297
América / MG,20,0.87702,0.87702
Cruzeiro / MG,19,0.003597,0.0037689999999999998
Vitória / BA,19,0.017512,0.018612
Corinthians / SP,19,6e-06,7e-06
Santa Cruz / PE,19,0.005706,0.00604
Atlético / MG,19,0.000534,0.000547
Figueirense / SC,19,0.329329,0.372299
Fluminense / RJ,19,0.001394,0.0014370000000000001
Coritiba / PR,19,0.106979,0.120133
Botafogo / RJ,19,0.202111,0.235137
América / MG,19,0.091908,0.968928
Flamengo / RJ,19,0.000769,0.0007920000000000001
Sport / PE,19,0.027899,0.03008
Athletico Paranaense / PR,19,0.000668,0.000688
Chapecoense / SC,19,0.000718,0.000748
São Paulo / SP,19,0.000492,0.000505
Ponte Preta / SP,19,0.210227,0.240125
Internacional / RS,19,0.000151,0.000153
América / MG,18,0.022853,0.991781
Grêmio / RS,18,1.1e-05,1.1e-05
São Paulo / SP,18,0.002116,0.002621
Santos / SP,18,1.7e-05,1.7e-05
Santa Cruz / PE,18,0.014094,0.020134
Figueirense / SC,18,0.279164,0.651463
Chapecoense / SC,18,0.002769,0.003517
Atlético / MG,18,0.002051,0.0025979999999999996
Ponte Preta / SP,18,0.217574,0.45769899999999997
Internacional / RS,18,0.000768,0.000921
Athletico Paranaense / PR,18,0.002825,0.0035129999999999996
Fluminense / RJ,18,0.004889,0.006326
Botafogo / RJ,18,0.203084,0.43822099999999997
Coritiba / PR,18,0.141941,0.26207400000000003
Vitória / BA,18,0.037681,0.056292999999999996
Flamengo / RJ,18,0.003141,0.003933
Sport / PE,18,0.054286,0.084366
Cruzeiro / MG,18,0.010698,0.014466999999999999
Corinthians / SP,18,3.8e-05,4.5e-05
Botafogo / RJ,17,0.190134,0.628355
Internacional / RS,17,0.00247,0.003391
Ponte Preta / SP,17,0.193169,0.650868
Santa Cruz / PE,17,0.028846,0.04898
