Club,Position,Probability,Cumulative
São Paulo / SP,20,0.0004,0.0004
Internacional / RS,20,5.8e-05,5.8e-05
Chapecoense / SC,20,0.95789,0.95789
Santos / SP,20,0.000598,0.000598
América / MG,20,0.006915,0.006915
Athletico Paranaense / PR,20,4e-06,4e-06
Grêmio / RS,20,0.015819,0.015819
Sport / PE,20,0.016038,0.016038
Fluminense / RJ,20,3.1e-05,3.1e-05
Cuiabá / MT,20,5.7e-05,5.7e-05
Ceará / CE,20,4.2e-05,4.2e-05
Juventude / RS,20,0.000398,0.000398
Atlético / GO,20,5.5e-05,5.5e-05
Bahia / BA,20,0.001695,0.001695
Fluminense / RJ,19,0.003157,0.0031880000000000003
Sport / PE,19,0.345732,0.36177
Santos / SP,19,0.02686,0.027458
Juventude / RS,19,0.023336,0.023733999999999998
Cuiabá / MT,19,0.005188,0.005245
Athletico Paranaense / PR,19,0.000637,0.000641
Corinthians / SP,19,7.6e-05,7.6e-05
Bahia / BA,19,0.060366,0.062061000000000005
Atlético / GO,19,0.005108,0.005163
São Paulo / SP,19,0.024239,0.024639
Ceará / CE,19,0.004462,0.004504
Chapecoense / SC,19,0.03251,0.9904000000000001
Internacional / RS,19,0.004234,0.004292
Grêmio / RS,19,0.296837,0.31265600000000004
América / MG,19,0.167258,0.174173
Santos / SP,18,0.053332,0.08079
Juventude / RS,18,0.050512,0.074246
Sport / PE,18,0.252522,0.6142920000000001
São Paulo / SP,18,0.053304,0.077943
Fluminense / RJ,18,0.010551,0.013739
Internacional / RS,18,0.012337,0.016629
Ceará / CE,18,0.013349,0.017853
Cuiabá / MT,18,0.015124,0.020368999999999998
América / MG,18,0.189765,0.363938
Athletico Paranaense / PR,18,0.002473,0.003114
Chapecoense / SC,18,0.006808,0.997208
Corinthians / SP,18,0.000489,0.000565
Atlético / GO,18,0.015808,0.020971
Grêmio / RS,18,0.228679,0.541335
Bahia / BA,18,0.094947,0.157008
Santos / SP,17,0.07987,0.16066
Chapecoense / SC,17,0.001852,0.9990600000000001
Ceará / CE,17,0.026449,0.044302
Cuiabá / MT,17,0.030227,0.050596
Red Bull Bragantino / SP,17,2e-06,2e-06
Corinthians / SP,17,0.001676,0.002241
Bahia / BA,17,0.120722,0.27773000000000003
Sport / PE,17,0.156317,0.770609
Atlético / GO,17,0.032105,0.053076
Grêmio / RS,17,0.15927,0.700605
Fortaleza / CE,17,2e-06,2e-06
Internacional / RS,17,0.024672,0.041301000000000004
Fluminense / RJ,17,0.02235,0.036088999999999996
Juventude / RS,17,0.079023,0.153269
Athletico Paranaense / PR,17,0.005826,0.00894
São Paulo / SP,17,0.083551,0.161494
América / MG,17,0.176086,0.540024
Athletico Paranaense / PR,16,0.011365,0.020305
Santos / SP,16,0.099424,0.260084
Fortaleza / CE,16,3e-06,4.9999999999999996e-06
Atlético / GO,16,0.051309,0.104385
Corinthians / SP,16,0.004143,0.006384
São Paulo / SP,16,0.107919,0.269413
Red Bull Bragantino / SP,16,3e-06,4.9999999999999996e-06
Bahia / BA,16,0.129087,0.406817
Grêmio / RS,16,0.103773,0.804378
Ceará / CE,16,0.042351,0.08665300000000001
Cuiabá / MT,16,0.047059,0.09765499999999999
Juventude / RS,16,0.100572,0.253841
América / MG,16,0.132896,0.67292
Fluminense / RJ,16,0.037224,0.073313
Sport / PE,16,0.093268,0.863877
Internacional / RS,16,0.038999,0.0803
Chapecoense / SC,16,0.000605,0.999665
São Paulo / SP,15,0.116129,0.385542
Internacional / RS,15,0.053915,0.134215
Corinthians / SP,15,0.007911,0.014294999999999999
América / MG,15,0.097525,0.7704449999999999
Santos / SP,15,0.107502,0.36758599999999997
Ceará / CE,15,0.057652,0.14430500000000002
Chapecoense / SC,15,0.000213,0.999878
Grêmio / RS,15,0.068859,0.873237
Juventude / RS,15,0.110157,0.363998
Atlético / GO,15,0.0696,0.173985
Fluminense / RJ,15,0.05309,0.126403
Sport / PE,15,0.055594,0.919471
Cuiabá / MT,15,0.064257,0.161912
Athletico Paranaense / PR,15,0.018686,0.038991
Red Bull Bragantino / SP,15,1.7e-05,2.2e-05
Bahia / BA,15,0.118881,0.525698
Fortaleza / CE,15,1.2e-05,1.7e-05
Juventude / RS,14,0.111478,0.475476
Grêmio / RS,14,0.045836,0.919073
