Club,Position,Probability,Cumulative
Santos / SP,20,0.62751,0.62751
Goiás / GO,20,1e-06,1e-06
Bahia / BA,20,0.372489,0.372489
Santos / SP,19,0.372443,0.9999530000000001
Fortaleza / CE,19,8.1e-05,8.1e-05
Atlético Mineiro / MG,19,1.5e-05,1.5e-05
Goiás / GO,19,3.6e-05,3.7e-05
Bahia / BA,19,0.627425,0.999914
Vasco da Gama / RJ,18,3.1e-05,3.1e-05
Coritiba / PR,18,0.002014,0.002014
Atlético Mineiro / MG,18,0.140994,0.141009
Goiás / GO,18,0.200435,0.200472
Flamengo / RJ,18,0.011517,0.011517
América / MG,18,0.011866,0.011866
Internacional / RS,18,0.001394,0.001394
Fluminense / RJ,18,0.004358,0.004358
Palmeiras / SP,18,0.006657,0.006657
Bahia / BA,18,8.5e-05,0.9999990000000001
Red Bull Bragantino / SP,18,0.000877,0.000877
Santos / SP,18,4.5e-05,0.999998
Fortaleza / CE,18,0.619727,0.619808
Flamengo / RJ,17,0.050378,0.061895
Coritiba / PR,17,0.009274,0.011288
Bahia / BA,17,1e-06,1.0
Fluminense / RJ,17,0.023021,0.027379
Atlético Mineiro / MG,17,0.286042,0.427051
Internacional / RS,17,0.00832,0.009713999999999999
Goiás / GO,17,0.301146,0.501618
Santos / SP,17,2e-06,1.0
Vasco da Gama / RJ,17,0.000163,0.000194
América / MG,17,0.034874,0.046740000000000004
Red Bull Bragantino / SP,17,0.007051,0.007928
Palmeiras / SP,17,0.038367,0.045023999999999995
Fortaleza / CE,17,0.241361,0.8611690000000001
Corinthians / SP,16,5e-06,5e-06
Red Bull Bragantino / SP,16,0.024438,0.032366
Palmeiras / SP,16,0.10093,0.145954
Fortaleza / CE,16,0.09151,0.952679
Coritiba / PR,16,0.02379,0.035078
Internacional / RS,16,0.02419,0.033904
Cruzeiro / MG,16,3e-06,3e-06
Flamengo / RJ,16,0.111001,0.172896
Fluminense / RJ,16,0.058954,0.086333
Goiás / GO,16,0.229108,0.730726
Cuiabá / MT,16,1e-06,1e-06
Atlético Mineiro / MG,16,0.269225,0.696276
América / MG,16,0.066168,0.11290800000000001
Vasco da Gama / RJ,16,0.000677,0.000871
Corinthians / SP,15,1.7e-05,2.2e-05
América / MG,15,0.101007,0.21391500000000002
Vasco da Gama / RJ,15,0.001889,0.0027600000000000003
Goiás / GO,15,0.116274,0.847
Coritiba / PR,15,0.046833,0.081911
Palmeiras / SP,15,0.177003,0.322957
Fortaleza / CE,15,0.029342,0.982021
Fluminense / RJ,15,0.108128,0.194461
Cruzeiro / MG,15,8e-06,1.1e-05
Atlético Mineiro / MG,15,0.13559,0.831866
Red Bull Bragantino / SP,15,0.058186,0.090552
Athletico Paranaense / PR,15,6e-06,6e-06
Flamengo / RJ,15,0.174432,0.347328
Internacional / RS,15,0.051285,0.08518899999999999
Cruzeiro / MG,14,4.5e-05,5.6000000000000006e-05
