Club,Position,Probability,Cumulative
Vasco da Gama / RJ,20,0.143152,0.143152
Cuiabá / MT,20,4e-06,4e-06
Cruzeiro / MG,20,3e-05,3e-05
América / MG,20,0.365326,0.365326
Coritiba / PR,20,0.471078,0.471078
Corinthians / SP,20,4.9e-05,4.9e-05
Internacional / RS,20,0.000419,0.000419
Santos / SP,20,0.017268,0.017268
Bahia / BA,20,0.001285,0.001285
Goiás / GO,20,0.001389,0.001389
São Paulo / SP,19,6e-06,6e-06
Santos / SP,19,0.069022,0.08629
Coritiba / PR,19,0.31708,0.7881579999999999
Cruzeiro / MG,19,0.000451,0.00048100000000000004
Bahia / BA,19,0.008339,0.009623999999999999
Cuiabá / MT,19,7.7e-05,8.1e-05
Corinthians / SP,19,0.000636,0.000685
Atlético Mineiro / MG,19,1e-06,1e-06
Internacional / RS,19,0.004104,0.004523
Goiás / GO,19,0.010352,0.011741
Vasco da Gama / RJ,19,0.263469,0.406621
América / MG,19,0.326463,0.691789
Athletico Paranaense / PR,18,1e-06,1e-06
Bahia / BA,18,0.035159,0.044783
Fortaleza / CE,18,6e-06,6e-06
Santos / SP,18,0.187191,0.273481
São Paulo / SP,18,0.000107,0.000113
Corinthians / SP,18,0.004607,0.005292
Cuiabá / MT,18,0.000874,0.000955
Internacional / RS,18,0.024182,0.028704999999999998
Cruzeiro / MG,18,0.003593,0.0040739999999999995
Coritiba / PR,18,0.14756,0.9357179999999999
América / MG,18,0.200267,0.892056
Goiás / GO,18,0.047773,0.059514000000000004
Atlético Mineiro / MG,18,1.9e-05,2e-05
Vasco da Gama / RJ,18,0.348661,0.755282
Coritiba / PR,17,0.0459,0.981618
Corinthians / SP,17,0.022168,0.02746
Flamengo / RJ,17,2e-06,2e-06
Santos / SP,17,0.340511,0.613992
Cruzeiro / MG,17,0.018752,0.022826
Fluminense / RJ,17,4e-06,4e-06
Fortaleza / CE,17,0.000164,0.00017
Cuiabá / MT,17,0.00621,0.007165
Bahia / BA,17,0.104837,0.14962
Internacional / RS,17,0.09145,0.120155
