Club,Position,Probability,Cumulative
Vasco da Gama / RJ,20,0.118977,0.118977
América / MG,20,0.429942,0.429942
Bahia / BA,20,0.00175,0.00175
Santos / SP,20,0.014062,0.014062
Corinthians / SP,20,7.3e-05,7.3e-05
Coritiba / PR,20,0.433194,0.433194
Cuiabá / MT,20,5e-06,5e-06
Internacional / RS,20,0.000418,0.000418
Cruzeiro / MG,20,4.3e-05,4.3e-05
Goiás / GO,20,0.001536,0.001536
Coritiba / PR,19,0.347948,0.781142
América / MG,19,0.325506,0.755448
Bahia / BA,19,0.011015,0.012765
Vasco da Gama / RJ,19,0.237372,0.356349
São Paulo / SP,19,9e-06,9e-06
Goiás / GO,19,0.011579,0.013115000000000002
Santos / SP,19,0.060592,0.074654
Corinthians / SP,19,0.000845,0.0009180000000000001
Cruzeiro / MG,19,0.000555,0.000598
Atlético Mineiro / MG,19,1e-06,1e-06
Cuiabá / MT,19,8.4e-05,8.9e-05
Internacional / RS,19,0.004494,0.004912
América / MG,18,0.165248,0.920696
Fortaleza / CE,18,9e-06,9e-06
São Paulo / SP,18,0.000193,0.000202
Coritiba / PR,18,0.152237,0.933379
Atlético Mineiro / MG,18,2.7e-05,2.8e-05
Corinthians / SP,18,0.006002,0.006920000000000001
Santos / SP,18,0.176543,0.251197
Goiás / GO,18,0.05459,0.067705
Cruzeiro / MG,18,0.004428,0.005025999999999999
Bahia / BA,18,0.046256,0.059021
Athletico Paranaense / PR,18,1e-06,1e-06
Vasco da Gama / RJ,18,0.365181,0.72153
Cuiabá / MT,18,0.001198,0.001287
Internacional / RS,18,0.028087,0.032999
Bahia / BA,17,0.12297,0.18199099999999999
Atlético Mineiro / MG,17,0.000413,0.000441
Vasco da Gama / RJ,17,0.162473,0.884003
Fluminense / RJ,17,2e-06,2e-06
Santos / SP,17,0.312874,0.564071
Corinthians / SP,17,0.025626,0.032546
Internacional / RS,17,0.095451,0.12845
Flamengo / RJ,17,5e-06,5e-06
Coritiba / PR,17,0.046003,0.979382
América / MG,17,0.053542,0.974238
Cruzeiro / MG,17,0.021257,0.026283
Goiás / GO,17,0.150034,0.21773900000000002
Athletico Paranaense / PR,17,3.2e-05,3.2999999999999996e-05
Red Bull Bragantino / SP,17,3e-06,3e-06
Cuiabá / MT,17,0.007587,0.008874
São Paulo / SP,17,0.001584,0.0017859999999999998
