Club,Position,Probability,Cumulative
São Caetano / SP,20,0.017158,0.017158
Red Bull Bragantino / SP,20,2e-06,2e-06
ASA / AL,20,3e-05,3e-05
Oeste / SP,20,1e-06,1e-06
Guaratinguetá / SP,20,0.016198,0.016198
Paysandu / PA,20,0.058381,0.058381
Ceará / CE,20,0.000187,0.000187
Icasa / CE,20,1e-06,1e-06
Boa / MG,20,1e-06,1e-06
ABC / RN,20,0.844331,0.844331
Atlético / GO,20,0.00073,0.00073
América / RN,20,0.06298,0.06298
Boa / MG,19,5.1e-05,5.2e-05
Ceará / CE,19,0.004397,0.0045839999999999995
América / MG,19,2e-06,2e-06
Figueirense / SC,19,4e-06,4e-06
Guaratinguetá / SP,19,0.123874,0.140072
Atlético / GO,19,0.013754,0.014484
América / RN,19,0.303643,0.366623
Icasa / CE,19,6.2e-05,6.3e-05
ASA / AL,19,0.000839,0.000869
Paysandu / PA,19,0.32784,0.38622100000000004
São Caetano / SP,19,0.11513,0.132288
Oeste / SP,19,0.000104,0.00010499999999999999
Red Bull Bragantino / SP,19,3.6e-05,3.8e-05
ABC / RN,19,0.110264,0.9545950000000001
Figueirense / SC,18,7e-05,7.4e-05
América / MG,18,2.3e-05,2.5e-05
Boa / MG,18,0.000425,0.000477
ABC / RN,18,0.032406,0.987001
Oeste / SP,18,0.000489,0.0005939999999999999
Ceará / CE,18,0.014923,0.019507
Red Bull Bragantino / SP,18,0.000298,0.000336
América / RN,18,0.258644,0.625267
Atlético / GO,18,0.038302,0.052786
Guaratinguetá / SP,18,0.189993,0.330065
Paysandu / PA,18,0.286157,0.672378
São Caetano / SP,18,0.173937,0.30622499999999997
ASA / AL,18,0.003806,0.004675
Icasa / CE,18,0.000526,0.000589
Avaí / SC,18,1e-06,1e-06
São Caetano / SP,17,0.229003,0.535228
Atlético / GO,17,0.084161,0.13694699999999999
Oeste / SP,17,0.001908,0.002502
Avaí / SC,17,2e-05,2.1000000000000002e-05
Boa / MG,17,0.002431,0.002908
Sport / PE,17,2e-06,2e-06
Red Bull Bragantino / SP,17,0.001558,0.0018939999999999999
Guaratinguetá / SP,17,0.242538,0.572603
Paysandu / PA,17,0.18711,0.859488
América / RN,17,0.186508,0.8117749999999999
Icasa / CE,17,0.002916,0.0035050000000000003
Ceará / CE,17,0.038108,0.057615
Figueirense / SC,17,0.000466,0.00054
ASA / AL,17,0.013106,0.017780999999999998
ABC / RN,17,0.009966,0.996967
América / MG,17,0.000199,0.00022400000000000002
Atlético / GO,16,0.160577,0.297524
Red Bull Bragantino / SP,16,0.006255,0.008149
Joinville / SC,16,3e-06,3e-06
ASA / AL,16,0.038285,0.056066
Oeste / SP,16,0.006772,0.009274000000000001
Figueirense / SC,16,0.002461,0.003001
Icasa / CE,16,0.012188,0.015693
Paysandu / PA,16,0.097672,0.95716
América / MG,16,0.001032,0.001256
Boa / MG,16,0.010478,0.013385999999999999
Guaratinguetá / SP,16,0.22509,0.797693
Avaí / SC,16,8.3e-05,0.00010400000000000001
