Club,Position,Probability,Cumulative
Londrina / PR,20,0.141938,0.141938
Botafogo / SP,20,1e-06,1e-06
ABC / RN,20,0.83443,0.83443
Avaí / SC,20,0.000589,0.000589
Tombense / MG,20,0.0204,0.0204
Ponte Preta / SP,20,4e-06,4e-06
Chapecoense / SC,20,0.000658,0.000658
Sampaio Corrêa / MA,20,0.00198,0.00198
Avaí / SC,19,0.015115,0.015704
Chapecoense / SC,19,0.016378,0.017036
Ituano / SP,19,7e-05,7e-05
Londrina / PR,19,0.620457,0.762395
Botafogo / SP,19,0.000391,0.00039200000000000004
Ponte Preta / SP,19,0.000706,0.00071
Ceará / CE,19,7e-06,7e-06
Sampaio Corrêa / MA,19,0.03669,0.03867
CRB / AL,19,2e-06,2e-06
ABC / RN,19,0.142511,0.9769410000000001
Tombense / MG,19,0.167673,0.188073
Chapecoense / SC,18,0.103694,0.12072999999999999
Tombense / MG,18,0.414199,0.6022719999999999
ABC / RN,18,0.019127,0.996068
Botafogo / SP,18,0.007875,0.008267
Londrina / PR,18,0.168239,0.9306340000000001
Mirassol / SP,18,2.1e-05,2.1e-05
Avaí / SC,18,0.08987,0.105574
Ponte Preta / SP,18,0.013541,0.014251
Ceará / CE,18,0.000226,0.000233
Ituano / SP,18,0.001238,0.001308
Sampaio Corrêa / MA,18,0.181835,0.220505
Atlético / GO,18,1.6e-05,1.6e-05
CRB / AL,18,0.000119,0.000121
ABC / RN,17,0.003138,0.999206
Atlético / GO,17,0.00037,0.000386
Botafogo / SP,17,0.036239,0.044506000000000004
Tombense / MG,17,0.198124,0.800396
Ponte Preta / SP,17,0.051145,0.06539600000000001
Ituano / SP,17,0.007662,0.00897
Mirassol / SP,17,0.000254,0.000275
Chapecoense / SC,17,0.186753,0.307483
Avaí / SC,17,0.188642,0.29421600000000003
CRB / AL,17,0.000935,0.0010559999999999999
Ceará / CE,17,0.001922,0.0021550000000000002
Sampaio Corrêa / MA,17,0.27802,0.498525
Londrina / PR,17,0.046796,0.97743
Londrina / PR,16,0.015341,0.9927710000000001
CRB / AL,16,0.004222,0.005278
Botafogo / SP,16,0.088342,0.13284800000000002
Tombense / MG,16,0.10465,0.905046
ABC / RN,16,0.000634,0.99984
Mirassol / SP,16,0.001472,0.001747
Ituano / SP,16,0.022127,0.031097
Atlético / GO,16,0.002305,0.0026910000000000002
Sampaio Corrêa / MA,16,0.209166,0.707691
Ceará / CE,16,0.007518,0.009673000000000001
Ponte Preta / SP,16,0.105994,0.17139000000000001
Avaí / SC,16,0.221976,0.516192
Chapecoense / SC,16,0.216252,0.5237350000000001
Guarani / SP,16,1e-06,1e-06
Londrina / PR,15,0.00524,0.9980110000000001
Ituano / SP,15,0.047529,0.078626
ABC / RN,15,0.000136,0.999976
CRB / AL,15,0.013345,0.018623
Mirassol / SP,15,0.005733,0.0074800000000000005
Guarani / SP,15,1.1e-05,1.2e-05
Botafogo / SP,15,0.150202,0.28305
Criciúma / SC,15,3e-06,3e-06
Novorizontino / SP,15,4e-06,4e-06
Ceará / CE,15,0.020013,0.029686
Ponte Preta / SP,15,0.165648,0.337038
Chapecoense / SC,15,0.193204,0.716939
Avaí / SC,15,0.191969,0.708161
Sampaio Corrêa / MA,15,0.143847,0.851538
Atlético / GO,15,0.008687,0.011378000000000001
Tombense / MG,15,0.054429,0.959475
Guarani / SP,14,9.6e-05,0.000108
Criciúma / SC,14,1.5e-05,1.8e-05
ABC / RN,14,2.3e-05,0.999999
Ituano / SP,14,0.088679,0.16730499999999998
Ceará / CE,14,0.045388,0.075074
Chapecoense / SC,14,0.128676,0.845615
CRB / AL,14,0.033097,0.05172
Sampaio Corrêa / MA,14,0.079979,0.9315169999999999
Juventude / RS,14,2.6e-05,2.6e-05
Vila Nova / GO,14,1e-06,1e-06
Londrina / PR,14,0.001435,0.9994460000000001
Tombense / MG,14,0.025101,0.984576
Mirassol / SP,14,0.017634,0.025114
Botafogo / SP,14,0.208472,0.491522
Atlético / GO,14,0.024144,0.035522
Novorizontino / SP,14,9e-06,1.3000000000000001e-05
Ponte Preta / SP,14,0.215575,0.552613
Avaí / SC,14,0.13165,0.839811
Vila Nova / GO,13,1.6e-05,1.7e-05
Tombense / MG,13,0.010544,0.99512
Sport / PE,13,3e-06,3e-06
Criciúma / SC,13,0.000113,0.00013099999999999999
Ponte Preta / SP,13,0.190317,0.74293
Sampaio Corrêa / MA,13,0.041412,0.9729289999999999
Juventude / RS,13,0.00017,0.00019600000000000002
Novorizontino / SP,13,4.1e-05,5.4e-05
Chapecoense / SC,13,0.080302,0.925917
Guarani / SP,13,0.000455,0.000563
Mirassol / SP,13,0.040626,0.06574
Ituano / SP,13,0.137198,0.30450299999999997
Londrina / PR,13,0.000425,0.9998710000000001
ABC / RN,13,1e-06,1.0
Vitória / BA,13,1e-06,1e-06
Avaí / SC,13,0.083539,0.92335
Atlético / GO,13,0.052364,0.08788599999999999
Botafogo / SP,13,0.209217,0.700739
Ceará / CE,13,0.086156,0.16122999999999998
CRB / AL,13,0.0671,0.11882000000000001
Vila Nova / GO,12,0.00012,0.000137
Ceará / CE,12,0.146068,0.307298
Juventude / RS,12,0.000937,0.0011330000000000001
CRB / AL,12,0.121964,0.240784
Ituano / SP,12,0.186918,0.491421
Londrina / PR,12,9.6e-05,0.999967
Mirassol / SP,12,0.081939,0.147679
Vitória / BA,12,5e-06,6e-06
Botafogo / SP,12,0.137265,0.838004
