Club,Position,Probability,Cumulative
Chapecoense / SC,20,0.015149,0.015149
Sampaio Corrêa / MA,20,0.005008,0.005008
Ituano / SP,20,0.000139,0.000139
Avaí / SC,20,0.006243,0.006243
ABC / RN,20,0.905032,0.905032
Ponte Preta / SP,20,0.000117,0.000117
Tombense / MG,20,0.012303,0.012303
Londrina / PR,20,0.056009,0.056009
Londrina / PR,19,0.425951,0.48196000000000006
Sampaio Corrêa / MA,19,0.091851,0.096859
Chapecoense / SC,19,0.156547,0.171696
Avaí / SC,19,0.094161,0.100404
Ponte Preta / SP,19,0.005929,0.006046
Botafogo / SP,19,9.8e-05,9.8e-05
Atlético / GO,19,8e-06,8e-06
Tombense / MG,19,0.14147,0.15377300000000002
CRB / AL,19,0.000278,0.000278
ABC / RN,19,0.074172,0.979204
Ceará / CE,19,7e-06,7e-06
Ituano / SP,19,0.009528,0.009667
Londrina / PR,18,0.222461,0.704421
CRB / AL,18,0.001354,0.001632
Chapecoense / SC,18,0.207017,0.37871299999999997
Avaí / SC,18,0.149669,0.250073
Ceará / CE,18,8.8e-05,9.499999999999999e-05
Sampaio Corrêa / MA,18,0.162894,0.259753
Ituano / SP,18,0.028313,0.03798
Botafogo / SP,18,0.000838,0.000936
Ponte Preta / SP,18,0.022102,0.028148
Atlético / GO,18,0.000138,0.000146
ABC / RN,18,0.015143,0.994347
Tombense / MG,18,0.189983,0.34375600000000006
Chapecoense / SC,17,0.187919,0.566632
Ceará / CE,17,0.000491,0.000586
Ituano / SP,17,0.055965,0.093945
ABC / RN,17,0.004074,0.998421
CRB / AL,17,0.004564,0.006196
Londrina / PR,17,0.132906,0.8373269999999999
Tombense / MG,17,0.190723,0.534479
Atlético / GO,17,0.000857,0.001003
Guarani / SP,17,1e-06,1e-06
Botafogo / SP,17,0.003764,0.0047
Ponte Preta / SP,17,0.050314,0.078462
Mirassol / SP,17,7e-06,7e-06
Avaí / SC,17,0.173692,0.423765
Sampaio Corrêa / MA,17,0.194723,0.454476
Tombense / MG,16,0.169542,0.704021
Ituano / SP,16,0.095457,0.18940200000000001
Sampaio Corrêa / MA,16,0.192071,0.646547
Mirassol / SP,16,3.6e-05,4.3e-05
Avaí / SC,16,0.178772,0.602537
ABC / RN,16,0.001167,0.9995879999999999
Botafogo / SP,16,0.01183,0.01653
Londrina / PR,16,0.08083,0.918157
Juventude / RS,16,1e-06,1e-06
Chapecoense / SC,16,0.16032,0.726952
Atlético / GO,16,0.003842,0.004845
Ponte Preta / SP,16,0.092479,0.170941
Guarani / SP,16,1e-06,2e-06
Ceará / CE,16,0.001837,0.0024230000000000002
CRB / AL,16,0.011815,0.018011
Avaí / SC,15,0.159506,0.762043
Londrina / PR,15,0.045907,0.964064
CRB / AL,15,0.027142,0.045153
Atlético / GO,15,0.013059,0.017904
Juventude / RS,15,6e-06,7e-06
Ituano / SP,15,0.147121,0.336523
Guarani / SP,15,2.6e-05,2.8e-05
Ceará / CE,15,0.006074,0.008497000000000001
Sampaio Corrêa / MA,15,0.160909,0.807456
Mirassol / SP,15,0.000286,0.00032900000000000003
Botafogo / SP,15,0.030869,0.047399
ABC / RN,15,0.000329,0.999917
Chapecoense / SC,15,0.123516,0.850468
Ponte Preta / SP,15,0.14928,0.320221
Tombense / MG,15,0.13597,0.839991
Juventude / RS,14,3.4e-05,4.1e-05
Vila Nova / GO,14,1e-06,1e-06
ABC / RN,14,6.5e-05,0.9999819999999999
Ceará / CE,14,0.017257,0.025754000000000003
Londrina / PR,14,0.022364,0.986428
Guarani / SP,14,0.00017,0.00019800000000000002
