Club,Position,Probability,Cumulative
Ponte Preta / SP,20,1.9e-05,1.9e-05
Tombense / MG,20,0.14558,0.14558
Avaí / SC,20,0.011139,0.011139
Chapecoense / SC,20,0.002301,0.002301
Sampaio Corrêa / MA,20,0.012833,0.012833
ABC / RN,20,0.70095,0.70095
Londrina / PR,20,0.127178,0.127178
Chapecoense / SC,19,0.018683,0.020984000000000003
Sampaio Corrêa / MA,19,0.073236,0.08606899999999999
Ponte Preta / SP,19,0.000661,0.00068
Botafogo / SP,19,0.000129,0.000129
Tombense / MG,19,0.334301,0.479881
Avaí / SC,19,0.069404,0.08054299999999999
Ituano / SP,19,1.8e-05,1.8e-05
Londrina / PR,19,0.313929,0.441107
ABC / RN,19,0.189639,0.890589
CRB / AL,18,7e-06,7e-06
Chapecoense / SC,18,0.05635,0.077334
Londrina / PR,18,0.270876,0.711983
Sampaio Corrêa / MA,18,0.165089,0.251158
ABC / RN,18,0.071427,0.962016
Ceará / CE,18,3e-06,3e-06
Atlético / GO,18,1e-06,1e-06
Ponte Preta / SP,18,0.00494,0.00562
Botafogo / SP,18,0.001435,0.001564
Ituano / SP,18,0.000196,0.000214
Avaí / SC,18,0.160783,0.24132599999999998
Tombense / MG,18,0.268892,0.748773
Mirassol / SP,18,1e-06,1e-06
Ponte Preta / SP,17,0.022552,0.028172
Ituano / SP,17,0.00123,0.001444
Botafogo / SP,17,0.009051,0.010615
Chapecoense / SC,17,0.124617,0.201951
Mirassol / SP,17,2.4e-05,2.5e-05
CRB / AL,17,0.000109,0.000116
Londrina / PR,17,0.154536,0.866519
Sampaio Corrêa / MA,17,0.266368,0.517526
Ceará / CE,17,6.4e-05,6.7e-05
Avaí / SC,17,0.255665,0.49699099999999996
Tombense / MG,17,0.140134,0.888907
ABC / RN,17,0.025632,0.987648
Atlético / GO,17,1.8e-05,1.9e-05
Avaí / SC,16,0.258598,0.755589
Tombense / MG,16,0.07158,0.9604870000000001
Mirassol / SP,16,0.000232,0.000257
Ponte Preta / SP,16,0.069804,0.09797600000000001
Ituano / SP,16,0.005947,0.007391
Botafogo / SP,16,0.036841,0.047456
CRB / AL,16,0.00095,0.001066
Atlético / GO,16,0.000309,0.00032799999999999995
ABC / RN,16,0.009407,0.9970549999999999
Londrina / PR,16,0.085779,0.9522980000000001
Sampaio Corrêa / MA,16,0.249941,0.767467
Ceará / CE,16,0.000548,0.000615
Chapecoense / SC,16,0.210064,0.412015
Vila Nova / GO,15,1e-06,1e-06
ABC / RN,15,0.002504,0.999559
CRB / AL,15,0.006186,0.007252
Londrina / PR,15,0.035576,0.987874
Mirassol / SP,15,0.002257,0.0025139999999999997
Ceará / CE,15,0.003022,0.003637
Tombense / MG,15,0.029756,0.990243
Ponte Preta / SP,15,0.175896,0.273872
Avaí / SC,15,0.15283,0.908419
Chapecoense / SC,15,0.298998,0.711013
Sampaio Corrêa / MA,15,0.153992,0.921459
Botafogo / SP,15,0.113366,0.160822
Ituano / SP,15,0.022662,0.030053000000000003
Atlético / GO,15,0.002954,0.003282
Chapecoense / SC,14,0.162164,0.873177
Ceará / CE,14,0.014029,0.017666
Juventude / RS,14,4e-06,4e-06
ABC / RN,14,0.000388,0.9999469999999999
Londrina / PR,14,0.009342,0.997216
Sampaio Corrêa / MA,14,0.05572,0.977179
Avaí / SC,14,0.060932,0.969351
Ituano / SP,14,0.066397,0.09645000000000001
Novorizontino / SP,14,2e-06,2e-06
Criciúma / SC,14,5e-06,5e-06
Mirassol / SP,14,0.013357,0.015871
Botafogo / SP,14,0.244048,0.40486999999999995
Atlético / GO,14,0.016991,0.020273
CRB / AL,14,0.026587,0.033839
Guarani / SP,14,4e-06,4e-06
Tombense / MG,14,0.007618,0.997861
Ponte Preta / SP,14,0.322407,0.596279
Vila Nova / GO,14,5e-06,6e-06
Ituano / SP,13,0.130338,0.22678800000000002
Guarani / SP,13,8.3e-05,8.7e-05
ABC / RN,13,4.8e-05,0.999995
Juventude / RS,13,2.8e-05,3.2e-05
Chapecoense / SC,13,0.082076,0.955253
Criciúma / SC,13,7.5e-05,7.999999999999999e-05
Ceará / CE,13,0.044137,0.061803000000000004
Novorizontino / SP,13,1.6e-05,1.8e-05
Vila Nova / GO,13,8.4e-05,8.999999999999999e-05
Tombense / MG,13,0.00185,0.999711
Atlético / GO,13,0.05124,0.071513
Avaí / SC,13,0.022554,0.9919049999999999
Sampaio Corrêa / MA,13,0.017702,0.994881
Ponte Preta / SP,13,0.232947,0.829226
Botafogo / SP,13,0.301434,0.7063039999999999
CRB / AL,13,0.071913,0.10575200000000001
Mirassol / SP,13,0.041152,0.057023000000000004
Londrina / PR,13,0.002323,0.9995390000000001
Ponte Preta / SP,12,0.100532,0.929758
Novorizontino / SP,12,0.000176,0.000194
Criciúma / SC,12,0.000648,0.000728
Londrina / PR,12,0.000379,0.9999180000000001
Sampaio Corrêa / MA,12,0.003956,0.998837
Sport / PE,12,8e-06,8e-06
Tombense / MG,12,0.000241,0.9999520000000001
Mirassol / SP,12,0.101603,0.158626
Vila Nova / GO,12,0.000577,0.0006670000000000001
Guarani / SP,12,0.000623,0.0007099999999999999
Juventude / RS,12,0.000202,0.000234
ABC / RN,12,5e-06,1.0
Ituano / SP,12,0.217119,0.44390700000000005
Botafogo / SP,12,0.153234,0.8595379999999999
Avaí / SC,12,0.005873,0.9977779999999999
Ceará / CE,12,0.106787,0.16859000000000002
CRB / AL,12,0.160812,0.266564
Chapecoense / SC,12,0.029197,0.98445
Atlético / GO,12,0.118028,0.189541
Tombense / MG,11,3.6e-05,0.999988
Atlético / GO,11,0.167188,0.35672899999999996
Chapecoense / SC,11,0.010359,0.994809
Juventude / RS,11,0.000974,0.001208
Londrina / PR,11,6.8e-05,0.999986
Vila Nova / GO,11,0.002435,0.003102
Ceará / CE,11,0.156432,0.325022
Mirassol / SP,11,0.148686,0.30731200000000003
CRB / AL,11,0.195195,0.46175900000000003
Sport / PE,11,4.2e-05,4.9999999999999996e-05
Novorizontino / SP,11,0.000772,0.0009660000000000001
Ponte Preta / SP,11,0.043215,0.972973
Ituano / SP,11,0.190772,0.634679
