Club,Position,Probability,Cumulative
Sampaio Corrêa / MA,20,0.00144,0.00144
Chapecoense / SC,20,0.000558,0.000558
Avaí / SC,20,0.000408,0.000408
Ponte Preta / SP,20,5e-06,5e-06
ABC / RN,20,0.839238,0.839238
Londrina / PR,20,0.139438,0.139438
Tombense / MG,20,0.018913,0.018913
Mirassol / SP,19,2e-06,2e-06
Avaí / SC,19,0.012162,0.01257
Chapecoense / SC,19,0.01653,0.017088
Ponte Preta / SP,19,0.000548,0.000553
Ceará / CE,19,6e-06,6e-06
Botafogo / SP,19,0.000273,0.000273
Sampaio Corrêa / MA,19,0.032023,0.033463
Tombense / MG,19,0.168218,0.187131
CRB / AL,19,6e-06,6e-06
ABC / RN,19,0.140204,0.979442
Londrina / PR,19,0.62998,0.7694179999999999
Ituano / SP,19,4.8e-05,4.8e-05
Mirassol / SP,18,1.4e-05,1.6e-05
Botafogo / SP,18,0.006947,0.00722
CRB / AL,18,9.4e-05,9.999999999999999e-05
Chapecoense / SC,18,0.111635,0.128723
Londrina / PR,18,0.166748,0.9361659999999999
Ituano / SP,18,0.001152,0.0012000000000000001
Avaí / SC,18,0.079271,0.09184099999999999
Sampaio Corrêa / MA,18,0.17424,0.207703
Ponte Preta / SP,18,0.012732,0.013285
Ceará / CE,18,0.000155,0.000161
Atlético / GO,18,1.7e-05,1.7e-05
Tombense / MG,18,0.429521,0.616652
ABC / RN,18,0.017474,0.996916
Chapecoense / SC,17,0.201047,0.32977
Ponte Preta / SP,17,0.049834,0.06311900000000001
CRB / AL,17,0.000986,0.001086
Ituano / SP,17,0.007126,0.008326
Mirassol / SP,17,0.000198,0.000214
Tombense / MG,17,0.195464,0.8121160000000001
ABC / RN,17,0.002463,0.999379
Londrina / PR,17,0.043351,0.979517
Botafogo / SP,17,0.033716,0.040936
Ceará / CE,17,0.001485,0.001646
Atlético / GO,17,0.000365,0.00038199999999999996
Avaí / SC,17,0.180433,0.272274
Sampaio Corrêa / MA,17,0.283532,0.491235
Avaí / SC,16,0.2211,0.493374
Tombense / MG,16,0.100517,0.912633
Sampaio Corrêa / MA,16,0.215372,0.706607
Atlético / GO,16,0.002565,0.002947
Botafogo / SP,16,0.083144,0.12408
Mirassol / SP,16,0.001277,0.001491
Londrina / PR,16,0.014093,0.99361
Chapecoense / SC,16,0.224836,0.5546059999999999
Ituano / SP,16,0.02101,0.029336
Ponte Preta / SP,16,0.105198,0.168317
ABC / RN,16,0.000502,0.999881
CRB / AL,16,0.004343,0.005429
Guarani / SP,16,2e-06,2e-06
Ceará / CE,16,0.006041,0.007687
Mirassol / SP,15,0.005457,0.006948
CRB / AL,15,0.013505,0.018934
Avaí / SC,15,0.200401,0.693775
Ituano / SP,15,0.04633,0.07566600000000001
Sampaio Corrêa / MA,15,0.147404,0.854011
Ceará / CE,15,0.017365,0.025051999999999998
Juventude / RS,15,3e-06,3e-06
Tombense / MG,15,0.051152,0.963785
Botafogo / SP,15,0.146316,0.27039599999999997
Londrina / PR,15,0.004649,0.9982589999999999
Ponte Preta / SP,15,0.16738,0.335697
Atlético / GO,15,0.009865,0.012812
Guarani / SP,15,6e-06,8e-06
ABC / RN,15,9.1e-05,0.9999720000000001
Chapecoense / SC,15,0.190076,0.744682
Juventude / RS,14,2.5e-05,2.8000000000000003e-05
Criciúma / SC,14,6e-06,6e-06
Vila Nova / GO,14,1e-06,1e-06
Londrina / PR,14,0.001298,0.9995569999999999
Novorizontino / SP,14,5e-06,5e-06
CRB / AL,14,0.033673,0.052607
Mirassol / SP,14,0.017444,0.024392
Ituano / SP,14,0.087083,0.162749
ABC / RN,14,2.4e-05,0.999996
Chapecoense / SC,14,0.121256,0.865938
Botafogo / SP,14,0.209847,0.480243
Ponte Preta / SP,14,0.218912,0.554609
Tombense / MG,14,0.022722,0.986507
Guarani / SP,14,6.5e-05,7.3e-05
Atlético / GO,14,0.027952,0.040764
Sampaio Corrêa / MA,14,0.080359,0.93437
Avaí / SC,14,0.138503,0.832278
Sport / PE,14,1e-06,1e-06
Ceará / CE,14,0.040824,0.06587599999999999
Ituano / SP,13,0.135896,0.298645
