Points,Position,Probability,Cumulative
31,20,0.274031,0.274031
32,20,0.345976,0.620007
34,20,0.379993,1.0
38,19,0.261462,0.261462
39,19,0.281447,0.5429090000000001
40,17,0.06696,0.06696
40,18,0.382577,0.382577
40,19,0.27452,0.817429
41,16,0.422424,0.422424
41,17,0.797928,0.864888
41,18,0.607801,0.990378
41,19,0.182571,1.0
42,16,0.041051,0.463475
42,17,0.037956,0.902844
42,18,0.007515,0.997893
43,18,0.002107,1.0
43,17,0.097156,1.0
43,15,0.216982,0.216982
43,16,0.517571,0.9810460000000001
44,15,0.33013,0.547112
44,16,0.018954,1.0
46,15,0.452888,1.0
47,13,0.243492,0.243492
47,14,0.770882,0.770882
48,13,0.384925,0.628417
48,14,0.191889,0.9627709999999999
49,12,0.296912,0.296912
49,13,0.158315,0.786732
49,14,0.017546,0.980317
50,12,0.703088,1.0
50,13,0.213268,1.0
50,14,0.019683,1.0
51,10,0.332173,0.332173
51,11,0.863147,0.863147
51,9,0.041891,0.041891
52,11,0.123807,0.986954
52,9,0.266691,0.308582
52,10,0.457454,0.7896270000000001
53,9,0.277032,0.5856140000000001
53,10,0.182695,0.972322
53,11,0.013046,1.0
54,9,0.414386,1.0
54,10,0.027678,1.0
55,7,0.039962,0.039962
55,8,0.565816,0.565816
56,6,0.071298,0.071298
56,7,0.401711,0.441673
56,8,0.350635,0.9164509999999999
57,6,0.10125,0.172548
57,7,0.355049,0.7967219999999999
57,8,0.083549,1.0
58,7,0.203278,1.0
58,6,0.686486,0.8590340000000001
58,5,0.344561,0.344561
59,4,0.214345,0.214345
59,5,0.367755,0.712316
59,6,0.140966,1.0
60,4,0.524193,0.738538
60,5,0.287684,1.0
62,4,0.261462,1.0
65,3,0.379993,0.379993
66,2,0.09982,0.09982
66,3,0.383799,0.763792
67,2,0.172038,0.271858
67,3,0.065081,0.828873
68,2,0.102904,0.37476200000000004
68,3,0.171127,1.0
69,2,0.625238,1.0
80,1,0.024312,0.024312
81,1,0.086522,0.110834
83,1,0.889166,1.0
