Points,Position,Probability,Cumulative
25,20,0.157253,0.157253
26,20,0.233128,0.390381
27,20,0.086227,0.47660800000000003
28,20,0.268647,0.745255
29,19,0.114298,0.114298
29,20,0.186292,0.931547
30,19,0.235299,0.349597
30,20,0.045937,0.977484
31,19,0.15076,0.500357
31,20,0.017582,0.995066
32,19,0.2243,0.724657
32,20,0.004934,1.0
33,19,0.191642,0.916299
34,19,0.002958,0.919257
35,19,0.080743,1.0
39,18,0.268546,0.268546
40,18,0.348214,0.61676
40,17,0.078205,0.078205
41,17,0.138374,0.216579
41,18,0.136232,0.752992
42,16,0.067542,0.067542
42,17,0.252081,0.46865999999999997
42,18,0.185267,0.938259
43,18,0.056636,0.994895
43,16,0.22184,0.28938200000000003
43,17,0.345858,0.814518
44,18,0.003453,0.998348
44,16,0.142529,0.431911
44,17,0.11612,0.930638
45,17,0.052073,0.982711
45,14,0.003054,0.003054
45,15,0.158155,0.158155
45,16,0.336974,0.768885
45,18,0.001652,1.0
46,17,0.017289,1.0
46,16,0.221157,0.990042
46,13,0.015264,0.015264
46,14,0.168376,0.17143
46,15,0.475085,0.63324
47,12,0.00478,0.00478
47,13,0.076909,0.092173
47,14,0.24457,0.41600000000000004
47,15,0.191535,0.824775
47,16,0.005472,0.995514
48,12,0.051002,0.055782
48,13,0.236216,0.32838900000000004
48,14,0.321612,0.737612
48,15,0.139986,0.964761
48,16,0.004486,1.0
49,15,0.034532,0.999293
49,13,0.48105,0.809439
49,14,0.241113,0.9787250000000001
49,11,0.047298,0.047298
49,12,0.283379,0.339161
50,11,0.158754,0.206052
50,12,0.314708,0.653869
50,13,0.128717,0.938156
50,14,0.017729,0.9964540000000001
50,15,0.00065,0.999943
51,15,5.7e-05,1.0
51,14,0.003546,1.0
51,12,0.251413,0.9052819999999999
51,11,0.210318,0.41637
51,13,0.059718,0.997874
52,13,0.002126,1.0
52,10,0.063835,0.063835
52,11,0.259215,0.675585
52,12,0.06048,0.965762
53,12,0.034238,1.0
53,11,0.273917,0.9495020000000001
53,10,0.276638,0.340473
53,9,0.032819,0.032819
54,8,0.005348,0.005348
54,9,0.087294,0.120113
54,10,0.195607,0.53608
54,11,0.016237,0.965739
55,11,0.034261,1.0
55,10,0.272959,0.809039
55,8,0.033654,0.039002
55,9,0.203083,0.32319600000000004
56,6,0.001477,0.001477
56,7,0.04061,0.04061
56,8,0.250285,0.28928699999999996
56,9,0.478747,0.801943
56,10,0.186455,0.995494
57,9,0.17999,0.981933
57,10,0.004506,1.0
57,8,0.504936,0.794223
57,5,0.006221,0.006221
57,6,0.082214,0.083691
57,7,0.348596,0.389206
58,5,0.030296,0.036517
58,6,0.162827,0.24651800000000001
58,7,0.254355,0.643561
58,8,0.133533,0.927756
58,9,0.013781,0.995714
59,9,0.004286,1.0
59,5,0.180787,0.217304
59,6,0.396632,0.64315
59,7,0.275982,0.919543
59,8,0.065078,0.992834
60,7,0.078553,0.998096
60,8,0.007166,1.0
60,5,0.417622,0.634926
60,6,0.310005,0.953155
61,7,0.000266,0.998362
61,6,0.005775,0.95893
61,4,0.083332,0.083332
61,5,0.041528,0.676454
62,3,0.010117,0.010117
62,4,0.250718,0.33405
62,5,0.323546,1.0
62,6,0.04107,1.0
62,7,0.001638,1.0
63,3,0.043024,0.053141
63,4,0.12375,0.4578
64,3,0.102623,0.155764
64,4,0.31077,0.76857
65,3,0.268925,0.42468900000000004
65,4,0.170045,0.938615
66,4,0.03548,0.9740949999999999
66,2,0.000882,0.000882
66,3,0.26245,0.687139
67,4,0.025905,1.0
67,2,0.007015,0.007897000000000001
67,3,0.095118,0.7822570000000001
68,1,0.001735,0.001735
68,2,0.08103,0.088927
68,3,0.217743,1.0
69,1,0.011487,0.013222000000000001
69,2,0.154249,0.243176
70,1,0.037043,0.050265000000000004
70,2,0.157781,0.400957
71,1,0.09794,0.148205
71,2,0.246484,0.647441
72,1,0.250372,0.39857699999999996
72,2,0.234688,0.882129
73,1,0.194506,0.593083
73,2,0.065834,0.947963
74,2,0.052037,1.0
74,1,0.201967,0.79505
75,1,0.20495,1.0
