Points,Position,Probability,Cumulative
15,20,2e-06,2e-06
16,20,1.7e-05,1.9e-05
17,20,7.1e-05,9e-05
18,20,0.000258,0.000348
19,20,0.000744,0.001092
20,20,0.001646,0.002738
21,19,1e-06,1e-06
21,20,0.003611,0.0063490000000000005
22,19,7e-06,8e-06
22,20,0.007187,0.013536
23,20,0.012858,0.026394
23,19,2.8e-05,3.6e-05
24,19,0.00012,0.000156
24,20,0.021026,0.04742
25,18,1e-06,1e-06
25,19,0.000532,0.000688
25,20,0.033239,0.080659
26,18,5e-06,6e-06
26,19,0.001542,0.00223
26,20,0.049073,0.129732
27,20,0.06693,0.196662
27,18,2.8e-05,3.4e-05
27,19,0.004376,0.006606
28,19,0.010507,0.017113
28,20,0.087144,0.283806
28,17,1e-06,1e-06
28,18,0.000173,0.000207
29,17,3e-06,4e-06
29,18,0.000751,0.0009580000000000001
29,19,0.022129,0.039242
29,20,0.106191,0.389997
30,17,4.4e-05,4.8e-05
30,18,0.002805,0.0037630000000000003
30,19,0.042235,0.08147700000000001
30,20,0.118704,0.508701
31,20,0.123266,0.631967
31,18,0.008599,0.012362000000000001
31,19,0.071687,0.15316400000000002
31,16,3e-06,3e-06
31,17,0.000253,0.00030100000000000005
32,16,1.9e-05,2.2e-05
32,17,0.001306,0.0016070000000000001
32,18,0.022271,0.034633
32,19,0.107737,0.260901
32,20,0.116667,0.748634
33,15,3e-06,3e-06
33,16,0.000163,0.000185
33,17,0.005116,0.006723
33,18,0.048857,0.08349
33,19,0.142451,0.403352
33,20,0.098,0.846634
34,20,0.071621,0.918255
34,18,0.090837,0.174327
34,19,0.162301,0.565653
34,16,0.001014,0.001199
34,15,2.2e-05,2.4999999999999998e-05
34,17,0.016588,0.023311
35,14,2e-06,2e-06
35,15,0.000213,0.00023799999999999998
35,16,0.005076,0.006274999999999999
35,17,0.043539,0.06684999999999999
35,18,0.141587,0.315914
35,19,0.157265,0.722918
35,20,0.045078,0.963333
36,20,0.023203,0.986536
36,17,0.092154,0.159004
36,19,0.127549,0.850467
36,15,0.001405,0.001643
36,14,4.2e-05,4.4e-05
36,16,0.018496,0.024770999999999998
36,18,0.181829,0.49774299999999994
37,13,1.2e-05,1.2e-05
37,14,0.000476,0.0005200000000000001
37,15,0.007785,0.009428
37,16,0.052453,0.077224
37,17,0.155008,0.314012
37,18,0.188008,0.685751
37,19,0.08403,0.9344969999999999
37,20,0.009541,0.996077
38,17,0.202165,0.516177
38,20,0.003055,0.999132
38,19,0.042973,0.97747
38,18,0.154171,0.839922
38,15,0.028669,0.038097
38,14,0.003232,0.003752
38,13,0.000159,0.00017099999999999998
38,12,1e-06,1e-06
38,16,0.113662,0.190886
39,20,0.00076,0.999892
39,19,0.016794,0.9942639999999999
39,18,0.096555,0.936477
39,17,0.204536,0.720713
39,16,0.185166,0.376052
39,15,0.078476,0.11657300000000001
39,14,0.01577,0.019521999999999998
39,13,0.001431,0.001602
39,12,4.6e-05,4.7e-05
40,20,9.6e-05,0.999988
40,19,0.004678,0.998942
40,18,0.044647,0.981124
