Player,Club,Championship,Date
156279,Remo / PA,CdB,03/04/2013
329561,Remo / PA,CdB,03/04/2013
340020,Remo / PA,CdB,03/04/2013
184862,Remo / PA,CdB,03/04/2013
175741,Remo / PA,CdB,03/04/2013
173645,Remo / PA,CdB,03/04/2013
166749,Remo / PA,CdB,03/04/2013
182842,Remo / PA,CdB,03/04/2013
132800,Remo / PA,CdB,03/04/2013
173921,Remo / PA,CdB,03/04/2013
171968,Remo / PA,CdB,03/04/2013
302196,Flamengo / RJ,CdB,03/04/2013
166649,Flamengo / RJ,CdB,03/04/2013
335611,Flamengo / RJ,CdB,03/04/2013
137644,Flamengo / RJ,CdB,03/04/2013
141698,Flamengo / RJ,CdB,03/04/2013
189046,Flamengo / RJ,CdB,03/04/2013
159607,Flamengo / RJ,CdB,03/04/2013
186467,Flamengo / RJ,CdB,03/04/2013
308733,Flamengo / RJ,CdB,03/04/2013
164070,Flamengo / RJ,CdB,03/04/2013
155855,Flamengo / RJ,CdB,03/04/2013
133769,Flamengo / RJ,CdB,03/04/2013
295956,Remo / PA,CdB,03/04/2013
164221,Remo / PA,CdB,03/04/2013
140653,Flamengo / RJ,CdB,03/04/2013
178487,Remo / PA,CdB,03/04/2013
330660,Flamengo / RJ,CdB,03/04/2013
127263,Ceilândia / DF,CdB,03/04/2013
177465,Ceilândia / DF,CdB,03/04/2013
186065,Ceilândia / DF,CdB,03/04/2013
293363,Ceilândia / DF,CdB,03/04/2013
146339,Ceilândia / DF,CdB,03/04/2013
349067,Ceilândia / DF,CdB,03/04/2013
186427,Ceilândia / DF,CdB,03/04/2013
298841,Ceilândia / DF,CdB,03/04/2013
187962,Ceilândia / DF,CdB,03/04/2013
133027,Ceilândia / DF,CdB,03/04/2013
151746,Ceilândia / DF,CdB,03/04/2013
155201,Ceará / CE,CdB,03/04/2013
156439,Ceará / CE,CdB,03/04/2013
295845,Ceará / CE,CdB,03/04/2013
169114,Ceará / CE,CdB,03/04/2013
175721,Ceará / CE,CdB,03/04/2013
135893,Ceará / CE,CdB,03/04/2013
188165,Ceará / CE,CdB,03/04/2013
166209,Ceará / CE,CdB,03/04/2013
171406,Ceará / CE,CdB,03/04/2013
327667,Ceará / CE,CdB,03/04/2013
151689,Ceará / CE,CdB,03/04/2013
163247,Ceará / CE,CdB,03/04/2013
148584,Ceará / CE,CdB,03/04/2013
135979,Ceilândia / DF,CdB,03/04/2013
120294,Ceilândia / DF,CdB,03/04/2013
316591,Ceilândia / DF,CdB,03/04/2013
120743,Ceará / CE,CdB,03/04/2013
132067,Rio Branco / AC,CdB,03/04/2013
157220,Rio Branco / AC,CdB,03/04/2013
179696,Rio Branco / AC,CdB,03/04/2013
173599,Rio Branco / AC,CdB,03/04/2013
295611,Rio Branco / AC,CdB,03/04/2013
143145,Rio Branco / AC,CdB,03/04/2013
330570,Rio Branco / AC,CdB,03/04/2013
153976,Rio Branco / AC,CdB,03/04/2013
156280,Rio Branco / AC,CdB,03/04/2013
138182,Rio Branco / AC,CdB,03/04/2013
141759,Rio Branco / AC,CdB,03/04/2013
151437,Internacional / RS,CdB,03/04/2013
419995,Internacional / RS,CdB,03/04/2013
165925,Internacional / RS,CdB,03/04/2013
145180,Internacional / RS,CdB,03/04/2013
172408,Internacional / RS,CdB,03/04/2013
402208,Internacional / RS,CdB,03/04/2013
168939,Internacional / RS,CdB,03/04/2013
299481,Internacional / RS,CdB,03/04/2013
123816,Internacional / RS,CdB,03/04/2013
186870,Internacional / RS,CdB,03/04/2013
188990,Internacional / RS,CdB,03/04/2013
466779,Rio Branco / AC,CdB,03/04/2013
292179,Internacional / RS,CdB,03/04/2013
151523,Rio Branco / AC,CdB,03/04/2013
182246,Internacional / RS,CdB,03/04/2013
348196,Internacional / RS,CdB,03/04/2013
343430,Rio Branco / AC,CdB,03/04/2013
127897,Guarani / CE,CdB,03/04/2013
350162,Guarani / CE,CdB,03/04/2013
166312,Guarani / CE,CdB,03/04/2013
362382,Guarani / CE,CdB,03/04/2013
296784,Guarani / CE,CdB,03/04/2013
181029,Guarani / CE,CdB,03/04/2013
156343,Guarani / CE,CdB,03/04/2013
370526,Guarani / CE,CdB,03/04/2013
296009,Guarani / CE,CdB,03/04/2013
166553,Guarani / CE,CdB,03/04/2013
179634,Guarani / CE,CdB,03/04/2013
300075,Santa Cruz / PE,CdB,03/04/2013
310724,Santa Cruz / PE,CdB,03/04/2013
144745,Santa Cruz / PE,CdB,03/04/2013
160028,Santa Cruz / PE,CdB,03/04/2013
173742,Santa Cruz / PE,CdB,03/04/2013
137471,Santa Cruz / PE,CdB,03/04/2013
149679,Santa Cruz / PE,CdB,03/04/2013
160150,Santa Cruz / PE,CdB,03/04/2013
188960,Santa Cruz / PE,CdB,03/04/2013
298402,Santa Cruz / PE,CdB,03/04/2013
341132,Santa Cruz / PE,CdB,03/04/2013
316997,Santa Cruz / PE,CdB,03/04/2013
364961,Guarani / CE,CdB,03/04/2013
161320,Guarani / CE,CdB,03/04/2013
169124,Santa Cruz / PE,CdB,03/04/2013
139187,Santa Cruz / PE,CdB,03/04/2013
426718,Guarani / CE,CdB,03/04/2013
169901,Cametá / PA,CdB,10/04/2013
305708,Cametá / PA,CdB,10/04/2013
151507,Cametá / PA,CdB,10/04/2013
156650,Cametá / PA,CdB,10/04/2013
133623,Cametá / PA,CdB,10/04/2013
166160,Cametá / PA,CdB,10/04/2013
148522,Cametá / PA,CdB,10/04/2013
291356,Cametá / PA,CdB,10/04/2013
185427,Cametá / PA,CdB,10/04/2013
161414,Cametá / PA,CdB,10/04/2013
156495,Cametá / PA,CdB,10/04/2013
