Player,Club,Championship,Date
300140,Palmeiras / SP,Serie_A,14/05/2016
532800,Palmeiras / SP,Serie_A,14/05/2016
431525,Palmeiras / SP,Serie_A,14/05/2016
338849,Palmeiras / SP,Serie_A,14/05/2016
353798,Palmeiras / SP,Serie_A,14/05/2016
157280,Palmeiras / SP,Serie_A,14/05/2016
154144,Palmeiras / SP,Serie_A,14/05/2016
389307,Palmeiras / SP,Serie_A,14/05/2016
137377,Palmeiras / SP,Serie_A,14/05/2016
308348,Palmeiras / SP,Serie_A,14/05/2016
173180,Palmeiras / SP,Serie_A,14/05/2016
355990,Athletico Paranaense / PR,Serie_A,14/05/2016
303922,Athletico Paranaense / PR,Serie_A,14/05/2016
179832,Athletico Paranaense / PR,Serie_A,14/05/2016
294769,Athletico Paranaense / PR,Serie_A,14/05/2016
344841,Athletico Paranaense / PR,Serie_A,14/05/2016
302192,Athletico Paranaense / PR,Serie_A,14/05/2016
155991,Athletico Paranaense / PR,Serie_A,14/05/2016
306616,Athletico Paranaense / PR,Serie_A,14/05/2016
171788,Athletico Paranaense / PR,Serie_A,14/05/2016
320930,Athletico Paranaense / PR,Serie_A,14/05/2016
169050,Athletico Paranaense / PR,Serie_A,14/05/2016
307317,Athletico Paranaense / PR,Serie_A,14/05/2016
310312,Athletico Paranaense / PR,Serie_A,14/05/2016
178704,Palmeiras / SP,Serie_A,14/05/2016
143465,Palmeiras / SP,Serie_A,14/05/2016
158615,Palmeiras / SP,Serie_A,14/05/2016
355960,Flamengo / RJ,Serie_A,14/05/2016
353568,Flamengo / RJ,Serie_A,14/05/2016
310950,Flamengo / RJ,Serie_A,14/05/2016
293420,Flamengo / RJ,Serie_A,14/05/2016
420184,Flamengo / RJ,Serie_A,14/05/2016
541197,Flamengo / RJ,Serie_A,14/05/2016
541232,Flamengo / RJ,Serie_A,14/05/2016
178361,Flamengo / RJ,Serie_A,14/05/2016
123816,Flamengo / RJ,Serie_A,14/05/2016
320593,Flamengo / RJ,Serie_A,14/05/2016
175411,Flamengo / RJ,Serie_A,14/05/2016
541220,Sport / PE,Serie_A,14/05/2016
320857,Sport / PE,Serie_A,14/05/2016
141516,Sport / PE,Serie_A,14/05/2016
316689,Sport / PE,Serie_A,14/05/2016
161625,Sport / PE,Serie_A,14/05/2016
184833,Sport / PE,Serie_A,14/05/2016
541169,Sport / PE,Serie_A,14/05/2016
541170,Sport / PE,Serie_A,14/05/2016
346636,Sport / PE,Serie_A,14/05/2016
292428,Sport / PE,Serie_A,14/05/2016
130014,Sport / PE,Serie_A,14/05/2016
175242,Sport / PE,Serie_A,14/05/2016
293440,Flamengo / RJ,Serie_A,14/05/2016
156351,Flamengo / RJ,Serie_A,14/05/2016
383527,Sport / PE,Serie_A,14/05/2016
305976,Flamengo / RJ,Serie_A,14/05/2016
163514,Sport / PE,Serie_A,14/05/2016
188260,Atlético Mineiro / MG,Serie_A,14/05/2016
318309,Atlético Mineiro / MG,Serie_A,14/05/2016
319430,Atlético Mineiro / MG,Serie_A,14/05/2016
166274,Atlético Mineiro / MG,Serie_A,14/05/2016
540839,Atlético Mineiro / MG,Serie_A,14/05/2016
345333,Atlético Mineiro / MG,Serie_A,14/05/2016
307018,Atlético Mineiro / MG,Serie_A,14/05/2016
162467,Atlético Mineiro / MG,Serie_A,14/05/2016
380745,Atlético Mineiro / MG,Serie_A,14/05/2016
324805,Atlético Mineiro / MG,Serie_A,14/05/2016
165439,Atlético Mineiro / MG,Serie_A,14/05/2016
337830,Santos / SP,Serie_A,14/05/2016
294382,Santos / SP,Serie_A,14/05/2016
384124,Santos / SP,Serie_A,14/05/2016
350039,Santos / SP,Serie_A,14/05/2016
322748,Santos / SP,Serie_A,14/05/2016
168008,Santos / SP,Serie_A,14/05/2016
186450,Santos / SP,Serie_A,14/05/2016
170272,Santos / SP,Serie_A,14/05/2016
185974,Santos / SP,Serie_A,14/05/2016
123823,Santos / SP,Serie_A,14/05/2016
177770,Santos / SP,Serie_A,14/05/2016
328835,Santos / SP,Serie_A,14/05/2016
312907,Atlético Mineiro / MG,Serie_A,14/05/2016
311794,Santos / SP,Serie_A,14/05/2016
542329,Santos / SP,Serie_A,14/05/2016
315979,Atlético Mineiro / MG,Serie_A,14/05/2016
186142,Coritiba / PR,Serie_A,14/05/2016
186140,Coritiba / PR,Serie_A,14/05/2016
174223,Coritiba / PR,Serie_A,14/05/2016
178472,Coritiba / PR,Serie_A,14/05/2016
150176,Coritiba / PR,Serie_A,14/05/2016
312048,Coritiba / PR,Serie_A,14/05/2016
433313,Coritiba / PR,Serie_A,14/05/2016
549415,Coritiba / PR,Serie_A,14/05/2016
155508,Coritiba / PR,Serie_A,14/05/2016
150943,Coritiba / PR,Serie_A,14/05/2016
378851,Coritiba / PR,Serie_A,14/05/2016
540980,Cruzeiro / MG,Serie_A,14/05/2016
170812,Cruzeiro / MG,Serie_A,14/05/2016
166061,Cruzeiro / MG,Serie_A,14/05/2016
540981,Cruzeiro / MG,Serie_A,14/05/2016
174360,Cruzeiro / MG,Serie_A,14/05/2016
178827,Cruzeiro / MG,Serie_A,14/05/2016
298642,Cruzeiro / MG,Serie_A,14/05/2016
166647,Cruzeiro / MG,Serie_A,14/05/2016
370695,Cruzeiro / MG,Serie_A,14/05/2016
541523,Cruzeiro / MG,Serie_A,14/05/2016
129292,Cruzeiro / MG,Serie_A,14/05/2016
303545,Cruzeiro / MG,Serie_A,14/05/2016
535421,Cruzeiro / MG,Serie_A,14/05/2016
343235,Coritiba / PR,Serie_A,14/05/2016
335379,Cruzeiro / MG,Serie_A,14/05/2016
375729,Coritiba / PR,Serie_A,14/05/2016
542126,Coritiba / PR,Serie_A,14/05/2016
310596,Botafogo / RJ,Serie_A,15/05/2016
309431,Botafogo / RJ,Serie_A,15/05/2016
154989,Botafogo / RJ,Serie_A,15/05/2016
413248,Botafogo / RJ,Serie_A,15/05/2016
307735,Botafogo / RJ,Serie_A,15/05/2016
303187,Botafogo / RJ,Serie_A,15/05/2016
169938,Botafogo / RJ,Serie_A,15/05/2016
316754,Botafogo / RJ,Serie_A,15/05/2016
158204,Botafogo / RJ,Serie_A,15/05/2016
298402,Botafogo / RJ,Serie_A,15/05/2016
184455,Botafogo / RJ,Serie_A,15/05/2016
522233,São Paulo / SP,Serie_A,15/05/2016
162393,São Paulo / SP,Serie_A,15/05/2016
374303,São Paulo / SP,Serie_A,15/05/2016
533568,São Paulo / SP,Serie_A,15/05/2016
404870,São Paulo / SP,Serie_A,15/05/2016
424131,São Paulo / SP,Serie_A,15/05/2016
351849,São Paulo / SP,Serie_A,15/05/2016
321561,São Paulo / SP,Serie_A,15/05/2016
178095,São Paulo / SP,Serie_A,15/05/2016
176915,São Paulo / SP,Serie_A,15/05/2016
337413,São Paulo / SP,Serie_A,15/05/2016
337172,Botafogo / RJ,Serie_A,15/05/2016
541831,Botafogo / RJ,Serie_A,15/05/2016
353262,São Paulo / SP,Serie_A,15/05/2016
161518,Botafogo / RJ,Serie_A,15/05/2016
300791,São Paulo / SP,Serie_A,15/05/2016
291780,São Paulo / SP,Serie_A,15/05/2016
370555,Santa Cruz / PE,Serie_A,15/05/2016
159190,Santa Cruz / PE,Serie_A,15/05/2016
333318,Santa Cruz / PE,Serie_A,15/05/2016
160028,Santa Cruz / PE,Serie_A,15/05/2016
147010,Santa Cruz / PE,Serie_A,15/05/2016
180789,Santa Cruz / PE,Serie_A,15/05/2016
174602,Santa Cruz / PE,Serie_A,15/05/2016
375634,Santa Cruz / PE,Serie_A,15/05/2016
292833,Santa Cruz / PE,Serie_A,15/05/2016
188960,Santa Cruz / PE,Serie_A,15/05/2016
156325,Santa Cruz / PE,Serie_A,15/05/2016
184273,Vitória / BA,Serie_A,15/05/2016
146539,Vitória / BA,Serie_A,15/05/2016
159684,Vitória / BA,Serie_A,15/05/2016
355752,Vitória / BA,Serie_A,15/05/2016
189046,Vitória / BA,Serie_A,15/05/2016
402095,Vitória / BA,Serie_A,15/05/2016
176512,Vitória / BA,Serie_A,15/05/2016
177152,Vitória / BA,Serie_A,15/05/2016
185126,Vitória / BA,Serie_A,15/05/2016
313780,Vitória / BA,Serie_A,15/05/2016
293180,Vitória / BA,Serie_A,15/05/2016
430588,Vitória / BA,Serie_A,15/05/2016
305534,Vitória / BA,Serie_A,15/05/2016
174194,Santa Cruz / PE,Serie_A,15/05/2016
387313,Vitória / BA,Serie_A,15/05/2016
185297,Santa Cruz / PE,Serie_A,15/05/2016
186128,Santa Cruz / PE,Serie_A,15/05/2016
177853,Corinthians / SP,Serie_A,15/05/2016
292132,Corinthians / SP,Serie_A,15/05/2016
313131,Corinthians / SP,Serie_A,15/05/2016
328813,Corinthians / SP,Serie_A,15/05/2016
159607,Corinthians / SP,Serie_A,15/05/2016
175320,Corinthians / SP,Serie_A,15/05/2016
190389,Corinthians / SP,Serie_A,15/05/2016
177050,Corinthians / SP,Serie_A,15/05/2016
292942,Corinthians / SP,Serie_A,15/05/2016
507462,Corinthians / SP,Serie_A,15/05/2016
177885,Corinthians / SP,Serie_A,15/05/2016
149578,Grêmio / RS,Serie_A,15/05/2016
172123,Grêmio / RS,Serie_A,15/05/2016
168351,Grêmio / RS,Serie_A,15/05/2016
409960,Grêmio / RS,Serie_A,15/05/2016
541503,Grêmio / RS,Serie_A,15/05/2016
165322,Grêmio / RS,Serie_A,15/05/2016
178486,Grêmio / RS,Serie_A,15/05/2016
295418,Grêmio / RS,Serie_A,15/05/2016
387400,Grêmio / RS,Serie_A,15/05/2016
166603,Grêmio / RS,Serie_A,15/05/2016
172404,Grêmio / RS,Serie_A,15/05/2016
171975,Corinthians / SP,Serie_A,15/05/2016
