Player,Club,Championship,Date
185401,Sampaio Corrêa / MA,Serie_C,02/06/2013
178927,Sampaio Corrêa / MA,Serie_C,02/06/2013
186173,Sampaio Corrêa / MA,Serie_C,02/06/2013
135603,Sampaio Corrêa / MA,Serie_C,02/06/2013
172741,Sampaio Corrêa / MA,Serie_C,02/06/2013
183546,Sampaio Corrêa / MA,Serie_C,02/06/2013
139757,Sampaio Corrêa / MA,Serie_C,02/06/2013
184656,Sampaio Corrêa / MA,Serie_C,02/06/2013
292621,Sampaio Corrêa / MA,Serie_C,02/06/2013
170765,Sampaio Corrêa / MA,Serie_C,02/06/2013
176095,Sampaio Corrêa / MA,Serie_C,02/06/2013
137418,Brasiliense / DF,Serie_C,02/06/2013
188247,Brasiliense / DF,Serie_C,02/06/2013
370739,Brasiliense / DF,Serie_C,02/06/2013
156666,Brasiliense / DF,Serie_C,02/06/2013
186294,Brasiliense / DF,Serie_C,02/06/2013
164342,Brasiliense / DF,Serie_C,02/06/2013
147577,Brasiliense / DF,Serie_C,02/06/2013
188729,Brasiliense / DF,Serie_C,02/06/2013
147814,Brasiliense / DF,Serie_C,02/06/2013
343392,Brasiliense / DF,Serie_C,02/06/2013
129530,Brasiliense / DF,Serie_C,02/06/2013
145301,Brasiliense / DF,Serie_C,02/06/2013
161851,Sampaio Corrêa / MA,Serie_C,02/06/2013
176729,Brasiliense / DF,Serie_C,02/06/2013
162610,Sampaio Corrêa / MA,Serie_C,02/06/2013
349089,Brasiliense / DF,Serie_C,02/06/2013
178848,Sampaio Corrêa / MA,Serie_C,02/06/2013
187298,Baraúnas / RN,Serie_C,01/06/2013
155845,Baraúnas / RN,Serie_C,01/06/2013
357680,Baraúnas / RN,Serie_C,01/06/2013
175305,Baraúnas / RN,Serie_C,01/06/2013
368174,Baraúnas / RN,Serie_C,01/06/2013
136521,Baraúnas / RN,Serie_C,01/06/2013
157269,Baraúnas / RN,Serie_C,01/06/2013
172865,Baraúnas / RN,Serie_C,01/06/2013
166368,Baraúnas / RN,Serie_C,01/06/2013
177728,Baraúnas / RN,Serie_C,01/06/2013
182847,Baraúnas / RN,Serie_C,01/06/2013
168641,Fortaleza / CE,Serie_C,01/06/2013
139359,Fortaleza / CE,Serie_C,01/06/2013
303021,Fortaleza / CE,Serie_C,01/06/2013
138518,Fortaleza / CE,Serie_C,01/06/2013
156029,Fortaleza / CE,Serie_C,01/06/2013
130094,Fortaleza / CE,Serie_C,01/06/2013
174755,Fortaleza / CE,Serie_C,01/06/2013
300886,Fortaleza / CE,Serie_C,01/06/2013
150858,Fortaleza / CE,Serie_C,01/06/2013
142661,Fortaleza / CE,Serie_C,01/06/2013
299925,Fortaleza / CE,Serie_C,01/06/2013
152059,Fortaleza / CE,Serie_C,01/06/2013
391749,Baraúnas / RN,Serie_C,01/06/2013
158442,Baraúnas / RN,Serie_C,01/06/2013
341025,Fortaleza / CE,Serie_C,01/06/2013
293090,Fortaleza / CE,Serie_C,01/06/2013
167829,Águia de Marabá / PA,Serie_C,02/06/2013
191387,Águia de Marabá / PA,Serie_C,02/06/2013
160751,Águia de Marabá / PA,Serie_C,02/06/2013
181270,Águia de Marabá / PA,Serie_C,02/06/2013
186637,Águia de Marabá / PA,Serie_C,02/06/2013
136474,Águia de Marabá / PA,Serie_C,02/06/2013
139554,Águia de Marabá / PA,Serie_C,02/06/2013
172135,Águia de Marabá / PA,Serie_C,02/06/2013
375634,Águia de Marabá / PA,Serie_C,02/06/2013
164677,Águia de Marabá / PA,Serie_C,02/06/2013
184694,Águia de Marabá / PA,Serie_C,02/06/2013
160738,CRB / AL,Serie_C,02/06/2013
184506,CRB / AL,Serie_C,02/06/2013
