Player,Club,Championship,Date
178353,São Raimundo / AM,Serie_D,17/04/2022
526599,São Raimundo / AM,Serie_D,17/04/2022
369755,São Raimundo / AM,Serie_D,17/04/2022
558056,São Raimundo / AM,Serie_D,17/04/2022
544213,São Raimundo / AM,Serie_D,17/04/2022
304345,São Raimundo / AM,Serie_D,17/04/2022
298782,São Raimundo / AM,Serie_D,17/04/2022
610284,São Raimundo / AM,Serie_D,17/04/2022
455706,São Raimundo / AM,Serie_D,17/04/2022
520382,São Raimundo / AM,Serie_D,17/04/2022
341612,São Raimundo / AM,Serie_D,17/04/2022
335883,São Raimundo / RR,Serie_D,17/04/2022
304173,São Raimundo / RR,Serie_D,17/04/2022
538810,São Raimundo / RR,Serie_D,17/04/2022
439149,São Raimundo / RR,Serie_D,17/04/2022
427922,São Raimundo / RR,Serie_D,17/04/2022
366548,São Raimundo / RR,Serie_D,17/04/2022
554808,São Raimundo / RR,Serie_D,17/04/2022
384158,São Raimundo / RR,Serie_D,17/04/2022
386198,São Raimundo / RR,Serie_D,17/04/2022
629046,São Raimundo / RR,Serie_D,17/04/2022
400404,São Raimundo / RR,Serie_D,17/04/2022
335243,São Raimundo / RR,Serie_D,17/04/2022
403435,São Raimundo / AM,Serie_D,17/04/2022
328313,São Raimundo / RR,Serie_D,17/04/2022
338266,São Raimundo / RR,Serie_D,17/04/2022
341224,São Raimundo / RR,Serie_D,17/04/2022
717486,São Raimundo / AM,Serie_D,17/04/2022
291329,São Raimundo / AM,Serie_D,17/04/2022
372453,São Raimundo / AM,Serie_D,17/04/2022
172093,São Raimundo / RR,Serie_D,17/04/2022
633502,Nautico / RR,Serie_D,18/04/2022
372618,Nautico / RR,Serie_D,18/04/2022
341110,Nautico / RR,Serie_D,18/04/2022
716827,Nautico / RR,Serie_D,18/04/2022
710313,Nautico / RR,Serie_D,18/04/2022
331063,Nautico / RR,Serie_D,18/04/2022
734153,Nautico / RR,Serie_D,18/04/2022
406365,Nautico / RR,Serie_D,18/04/2022
548752,Nautico / RR,Serie_D,18/04/2022
460231,Nautico / RR,Serie_D,18/04/2022
307284,Nautico / RR,Serie_D,18/04/2022
421900,Porto Velho / RO,Serie_D,18/04/2022
418820,Porto Velho / RO,Serie_D,18/04/2022
541093,Porto Velho / RO,Serie_D,18/04/2022
507065,Porto Velho / RO,Serie_D,18/04/2022
405737,Porto Velho / RO,Serie_D,18/04/2022
315788,Porto Velho / RO,Serie_D,18/04/2022
334127,Porto Velho / RO,Serie_D,18/04/2022
355922,Porto Velho / RO,Serie_D,18/04/2022
165829,Porto Velho / RO,Serie_D,18/04/2022
293289,Porto Velho / RO,Serie_D,18/04/2022
506973,Porto Velho / RO,Serie_D,18/04/2022
523671,Porto Velho / RO,Serie_D,18/04/2022
458223,Nautico / RR,Serie_D,18/04/2022
155841,Porto Velho / RO,Serie_D,18/04/2022
513183,Porto Velho / RO,Serie_D,18/04/2022
666698,Porto Velho / RO,Serie_D,18/04/2022
750574,Nautico / RR,Serie_D,18/04/2022
396934,Trem / AP,Serie_D,18/04/2022
537982,Trem / AP,Serie_D,18/04/2022
538094,Trem / AP,Serie_D,18/04/2022
427733,Trem / AP,Serie_D,18/04/2022
526374,Trem / AP,Serie_D,18/04/2022
321457,Trem / AP,Serie_D,18/04/2022
607790,Trem / AP,Serie_D,18/04/2022
291811,Trem / AP,Serie_D,18/04/2022
567863,Trem / AP,Serie_D,18/04/2022
448007,Trem / AP,Serie_D,18/04/2022
360906,Trem / AP,Serie_D,18/04/2022
166923,Rio Branco / AC,Serie_D,18/04/2022
310067,Rio Branco / AC,Serie_D,18/04/2022
431318,Rio Branco / AC,Serie_D,18/04/2022
377721,Rio Branco / AC,Serie_D,18/04/2022
703683,Rio Branco / AC,Serie_D,18/04/2022
417315,Rio Branco / AC,Serie_D,18/04/2022
413640,Rio Branco / AC,Serie_D,18/04/2022
399231,Rio Branco / AC,Serie_D,18/04/2022
314288,Rio Branco / AC,Serie_D,18/04/2022
453741,Rio Branco / AC,Serie_D,18/04/2022
534795,Rio Branco / AC,Serie_D,18/04/2022
172851,Trem / AP,Serie_D,18/04/2022
513158,Trem / AP,Serie_D,18/04/2022
610503,Rio Branco / AC,Serie_D,18/04/2022
533337,Trem / AP,Serie_D,18/04/2022
445025,Rio Branco / AC,Serie_D,18/04/2022
420715,Rio Branco / AC,Serie_D,18/04/2022
559376,Trem / AP,Serie_D,18/04/2022
697411,Rio Branco / AC,Serie_D,18/04/2022
419974,Humaitá / AC,Serie_D,17/04/2022
461401,Humaitá / AC,Serie_D,17/04/2022
544921,Humaitá / AC,Serie_D,17/04/2022
550859,Humaitá / AC,Serie_D,17/04/2022
509001,Humaitá / AC,Serie_D,17/04/2022
343683,Humaitá / AC,Serie_D,17/04/2022
648930,Humaitá / AC,Serie_D,17/04/2022
394327,Humaitá / AC,Serie_D,17/04/2022
551182,Humaitá / AC,Serie_D,17/04/2022
550867,Humaitá / AC,Serie_D,17/04/2022
179413,Humaitá / AC,Serie_D,17/04/2022
617617,Amazonas / AM,Serie_D,17/04/2022
186286,Amazonas / AM,Serie_D,17/04/2022
565495,Amazonas / AM,Serie_D,17/04/2022
178352,Amazonas / AM,Serie_D,17/04/2022
182085,Amazonas / AM,Serie_D,17/04/2022
177093,Amazonas / AM,Serie_D,17/04/2022
166291,Amazonas / AM,Serie_D,17/04/2022
410277,Amazonas / AM,Serie_D,17/04/2022
305873,Amazonas / AM,Serie_D,17/04/2022
563947,Amazonas / AM,Serie_D,17/04/2022
373689,Amazonas / AM,Serie_D,17/04/2022
367493,Humaitá / AC,Serie_D,17/04/2022
399717,Amazonas / AM,Serie_D,17/04/2022
646653,Humaitá / AC,Serie_D,17/04/2022
553050,Humaitá / AC,Serie_D,17/04/2022
693118,Humaitá / AC,Serie_D,17/04/2022
758054,Amazonas / AM,Serie_D,17/04/2022
430416,Amazonas / AM,Serie_D,17/04/2022
620564,Humaitá / AC,Serie_D,17/04/2022
751425,Amazonas / AM,Serie_D,17/04/2022
522481,Amazonas / AM,Serie_D,17/04/2022
337563,4 de Julho / PI,Serie_D,17/04/2022
500235,4 de Julho / PI,Serie_D,17/04/2022
517121,4 de Julho / PI,Serie_D,17/04/2022
463058,4 de Julho / PI,Serie_D,17/04/2022
394548,4 de Julho / PI,Serie_D,17/04/2022
430891,4 de Julho / PI,Serie_D,17/04/2022
347419,4 de Julho / PI,Serie_D,17/04/2022
306514,4 de Julho / PI,Serie_D,17/04/2022
179315,4 de Julho / PI,Serie_D,17/04/2022
316362,4 de Julho / PI,Serie_D,17/04/2022
441218,4 de Julho / PI,Serie_D,17/04/2022
346376,Pacajus / CE,Serie_D,17/04/2022
178231,Pacajus / CE,Serie_D,17/04/2022
292114,Pacajus / CE,Serie_D,17/04/2022
166776,Pacajus / CE,Serie_D,17/04/2022
533812,Pacajus / CE,Serie_D,17/04/2022
513298,Pacajus / CE,Serie_D,17/04/2022
651021,Pacajus / CE,Serie_D,17/04/2022
430366,Pacajus / CE,Serie_D,17/04/2022
175614,Pacajus / CE,Serie_D,17/04/2022
651147,Pacajus / CE,Serie_D,17/04/2022
330407,Pacajus / CE,Serie_D,17/04/2022
321903,Pacajus / CE,Serie_D,17/04/2022
617679,Pacajus / CE,Serie_D,17/04/2022
180903,Tocantinópolis / TO,Serie_D,17/04/2022
393872,Tocantinópolis / TO,Serie_D,17/04/2022
431934,Tocantinópolis / TO,Serie_D,17/04/2022
355861,Tocantinópolis / TO,Serie_D,17/04/2022
332776,Tocantinópolis / TO,Serie_D,17/04/2022
429251,Tocantinópolis / TO,Serie_D,17/04/2022
509685,Tocantinópolis / TO,Serie_D,17/04/2022
515615,Tocantinópolis / TO,Serie_D,17/04/2022
360824,Tocantinópolis / TO,Serie_D,17/04/2022
459881,Tocantinópolis / TO,Serie_D,17/04/2022
168366,Tocantinópolis / TO,Serie_D,17/04/2022
620810,Tuna Luso / PA,Serie_D,17/04/2022
539327,Tuna Luso / PA,Serie_D,17/04/2022
537980,Tuna Luso / PA,Serie_D,17/04/2022
171712,Tuna Luso / PA,Serie_D,17/04/2022
376975,Tuna Luso / PA,Serie_D,17/04/2022
299811,Tuna Luso / PA,Serie_D,17/04/2022
156478,Tuna Luso / PA,Serie_D,17/04/2022
459300,Tuna Luso / PA,Serie_D,17/04/2022
191680,Tuna Luso / PA,Serie_D,17/04/2022
513215,Tuna Luso / PA,Serie_D,17/04/2022
369409,Tuna Luso / PA,Serie_D,17/04/2022
187746,Tocantinópolis / TO,Serie_D,17/04/2022
577473,Tocantinópolis / TO,Serie_D,17/04/2022
518399,Tocantinópolis / TO,Serie_D,17/04/2022
439484,Tuna Luso / PA,Serie_D,17/04/2022
554265,Tocantinópolis / TO,Serie_D,17/04/2022
535604,Tocantinópolis / TO,Serie_D,17/04/2022
554277,Tuna Luso / PA,Serie_D,17/04/2022
372262,Tuna Luso / PA,Serie_D,17/04/2022
538202,Tuna Luso / PA,Serie_D,17/04/2022
562285,Tuna Luso / PA,Serie_D,17/04/2022
612306,Castanhal / PA,Serie_D,17/04/2022
346074,Castanhal / PA,Serie_D,17/04/2022
178569,Castanhal / PA,Serie_D,17/04/2022
395002,Castanhal / PA,Serie_D,17/04/2022
315254,Castanhal / PA,Serie_D,17/04/2022
332779,Castanhal / PA,Serie_D,17/04/2022
427825,Castanhal / PA,Serie_D,17/04/2022
349560,Castanhal / PA,Serie_D,17/04/2022
669792,Castanhal / PA,Serie_D,17/04/2022
451954,Castanhal / PA,Serie_D,17/04/2022
465385,Castanhal / PA,Serie_D,17/04/2022
421285,Moto Club / MA,Serie_D,17/04/2022
170277,Moto Club / MA,Serie_D,17/04/2022
520320,Moto Club / MA,Serie_D,17/04/2022
378661,Moto Club / MA,Serie_D,17/04/2022
323120,Moto Club / MA,Serie_D,17/04/2022
520841,Moto Club / MA,Serie_D,17/04/2022
184246,Moto Club / MA,Serie_D,17/04/2022
507730,Moto Club / MA,Serie_D,17/04/2022
328541,Moto Club / MA,Serie_D,17/04/2022
409614,Moto Club / MA,Serie_D,17/04/2022
159664,Moto Club / MA,Serie_D,17/04/2022
561183,Moto Club / MA,Serie_D,17/04/2022
608192,Castanhal / PA,Serie_D,17/04/2022
427070,Castanhal / PA,Serie_D,17/04/2022
535744,Moto Club / MA,Serie_D,17/04/2022
377764,Moto Club / MA,Serie_D,17/04/2022
707275,Castanhal / PA,Serie_D,17/04/2022
544572,Moto Club / MA,Serie_D,17/04/2022
299390,Castanhal / PA,Serie_D,17/04/2022
602685,Castanhal / PA,Serie_D,17/04/2022
293025,Juventude / MA,Serie_D,17/04/2022
747375,Juventude / MA,Serie_D,17/04/2022
451402,Juventude / MA,Serie_D,17/04/2022
636926,Juventude / MA,Serie_D,17/04/2022
743173,Juventude / MA,Serie_D,17/04/2022
170712,Juventude / MA,Serie_D,17/04/2022
644429,Juventude / MA,Serie_D,17/04/2022
435879,Juventude / MA,Serie_D,17/04/2022
443463,Juventude / MA,Serie_D,17/04/2022
679988,Juventude / MA,Serie_D,17/04/2022
636817,Juventude / MA,Serie_D,17/04/2022
583691,Fluminense / PI,Serie_D,17/04/2022
370576,Fluminense / PI,Serie_D,17/04/2022
307954,Fluminense / PI,Serie_D,17/04/2022
187141,Fluminense / PI,Serie_D,17/04/2022
138279,Fluminense / PI,Serie_D,17/04/2022
406213,Fluminense / PI,Serie_D,17/04/2022
169274,Fluminense / PI,Serie_D,17/04/2022
